# FreeSurfer-style LUT
# ID Name R G B A
1 SubThalamicNucleus 155 65 71 255
2 SubstantiaNigra 112 90 147 255
3 ZonaIncerta 182 185 144 255
4 GlobusPallidusInternus 156 93 141 255
5 GlobusPallidusExternus 96 120 186 255
6 PeduncolopontineNuclues 188 178 204 255
7 RedNucleus 51 207 242 255
8 FieldForel2 100 82 80 255
9 MammillaryBody 255 244 68 255
10 Habenula 225 242 152 255
21 AnteriorCommissure 121 112 160 255
22 AnsaLenticularis 181 123 243 255
23 FasciculusRetroflexus 132 206 126 255
24 Fornix 149 146 216 255
25 LenticularFasciculus 213 62 208 255
26 MedialLemniscus 220 128 255 255
27 MammilloThalamic 171 157 237 255
28 OpticTract 233 129 72 255
29 StriaMedullaris 85 153 186 255
30 StriaTerminalis 104 219 85 255
31 Subthalamic Fasciculus 213 188 96 255
32 STN-PPN 82 113 109 255
33 STN-SN 199 145 203 255
34 GPi-Hb 235 164 206 255
35 GPi-Pf 199 136 61 255
36 MedialForebrainBundle 224 137 103 255
37 STN-M1 208 138 98 255
38 STN-SMA 69 112 138 255
39 STN-FEF 70 188 181 255
40 Ansa-Subthalamica 189 203 162 255
41 STN-vlPFC 184 58 175 255
42 STN-dmPFC 221 132 160 255
43 STN-vmPFC 134 92 148 255
44 STN-dlPFC 153 226 163 255
45 Th-dmPFC 196 164 130 255
46 Th-vlPFC 230 68 153 255
47 Th-dlPFC 160 115 253 255
48 Th-vmPFC 129 222 227 255
49 Th-FEF 129 101 145 255
50 Pu-vlPFC 172 164 75 255
51 Pu-dmPFC 106 185 127 255
52 Pu-dlPFC 155 189 126 255
53 Pu-vmPFC 139 102 229 255
54 DentatoThalamicTract 93 79 96 255
55 GPi-PPN 142 225 193 255
56 Pu-SN 198 87 87 255
57 Pu-M1 99 249 247 255
58 Pu-SMA 139 238 173 255
59 Th-M1 215 79 111 255
60 Th-SMA 226 193 149 255
61 Th-10ml 213 160 145 255
62 Th-10v 122 222 101 255
63 Th-Opro 159 225 219 255
64 Th-OFC 151 169 219 255
