# FreeSurfer-style LUT
# ID Name R G B A
1 SubThalamicNucleus 244 64 172 255
2 SubstantiaNigra 199 52 164 255
3 ZonaIncerta 136 206 220 255
4 GlobusPallidusInternus 193 226 240 255
5 GlobusPallidusExternus 148 224 191 255
6 PeduncolopontineNuclues 205 125 182 255
7 RedNucleus 83 215 216 255
8 FieldForel2 128 106 85 255
9 MammillaryBody 233 69 255 255
10 Habenula 206 136 129 255
21 AnteriorCommissure 86 142 167 255
22 AnsaLenticularis 206 100 128 255
23 FasciculusRetroflexus 64 198 98 255
24 Fornix 60 133 145 255
25 LenticularFasciculus 235 119 116 255
26 MedialLemniscus 205 190 247 255
27 MammilloThalamic 53 113 56 255
28 OpticTract 78 93 123 255
29 StriaMedullaris 194 53 222 255
30 StriaTerminalis 155 103 204 255
31 SubthalamicFasciculus 144 204 110 255
32 STN-PPN 71 110 172 255
33 STN-SN 161 62 230 255
34 GPi-Hb 159 246 71 255
35 GPi-Pf 89 126 173 255
36 MedialForebrainBundle 204 111 66 255
37 STN-4 125 158 137 255
38 STN-6 52 218 61 255
39 STN-FEF 246 142 115 255
40 Ansa-Subthalamica 152 255 156 255
41 STN-vlPFC 130 126 229 255
42 STN-dmPFC 227 57 114 255
43 STN-vmPFC 144 203 133 255
44 STN-dlPFC 154 138 61 255
45 Th-dmPFC 88 121 153 255
46 Th-vlPFC 92 113 228 255
47 Th-dlPFC 141 61 111 255
48 Th-vmPFC 255 59 203 255
49 Th-FEF 224 234 91 255
50 Pu-vlPFC 154 251 88 255
51 Pu-dmPFC 225 82 67 255
52 Pu-dlPFC 233 212 213 255
53 Pu-vmPFC 55 211 129 255
54 DentatoThalamicTract 215 173 144 255
55 GPi-PPN 97 118 212 255
56 Pu-SN 225 168 180 255
57 Pu-4 126 216 211 255
58 Pu-6 122 227 220 255
59 Th-4 232 88 232 255
60 Th-6 207 244 115 255
61 Th-10ml 213 73 178 255
62 Th-10v 245 213 52 255
63 Th-Opro 235 152 134 255
64 Th-OFC 252 58 109 255
