# FreeSurfer-style LUT
# ID Name R G B A
1 SubThalamicNucleus 204 198 95 255
2 SubstantiaNigra 59 250 253 255
3 ZonaIncerta 161 156 69 255
4 GlobusPallidusInternus 57 172 100 255
5 GlobusPallidusExternus 113 245 138 255
6 PeduncolopontineNuclues 80 159 60 255
7 RedNucleus 136 68 214 255
8 FieldForel2 140 182 61 255
9 MammillaryBody 63 177 170 255
10 Habenula 104 235 168 255
21 AnteriorCommissure 61 165 147 255
22 AnsaLenticularis 93 193 69 255
23 FasciculusRetroflexus 176 127 201 255
24 Fornix 51 62 120 255
25 LenticularFasciculus 86 226 55 255
26 MedialLemniscus 167 116 179 255
27 MammilloThalamic 76 164 201 255
28 OpticTract 50 81 210 255
29 StriaMedullaris 181 147 219 255
30 StriaTerminalis 101 133 193 255
31 Subthalamic Fasciculus 82 216 75 255
32 STN-PPN 149 242 82 255
33 STN-SN 137 102 103 255
34 GPi-Hb 85 117 203 255
35 GPi-Pf 158 252 235 255
36 MedialForebrainBundle 58 202 217 255
37 STN-M1 231 220 88 255
38 STN-SMA 132 235 86 255
39 STN-FEF 135 60 238 255
40 Ansa-Subthalamica 253 248 244 255
41 STN-vlPFC 131 208 130 255
42 STN-dmPFC 89 163 64 255
43 STN-vmPFC 107 250 132 255
44 STN-dlPFC 74 234 245 255
45 Th-dmPFC 96 67 144 255
46 Th-vlPFC 165 111 62 255
47 Th-dlPFC 219 95 67 255
48 Th-vmPFC 160 225 138 255
49 Th-FEF 64 231 142 255
50 Pu-vlPFC 94 130 180 255
51 Pu-dmPFC 208 222 129 255
52 Pu-dlPFC 208 79 201 255
53 Pu-vmPFC 234 223 170 255
54 DentatoThalamicTract 51 125 93 255
55 GPi-PPN 200 53 133 255
56 Pu-SN 142 186 176 255
57 Pu-M1 130 143 185 255
58 Pu-SMA 111 203 151 255
59 Th-M1 203 170 148 255
60 Th-SMA 242 61 171 255
61 Th-10ml 125 121 169 255
62 Th-10v 207 207 242 255
63 Th-Opro 178 99 116 255
64 Th-OFC 56 252 146 255
